,bedrooms,Sqft.,lot Sqft.,full baths,half baths,stories,Private Pool,zip,price,zipTier,age
13086,4.0,2764.0,5980.0,2.0,1,2.0,False,77301,335000.0,0,11.0
13087,4.0,3380.0,10080.0,4.0,0,1.0,False,77385,550000.0,1,1.0
13088,4.0,2365.0,7094.0,2.0,0,2.0,False,77304,275000.0,0,46.0
13089,3.0,1456.0,0.0,2.0,0,1.0,True,77306,300000.0,0,4.0
13090,4.0,2743.0,8264.0,3.0,1,2.0,False,77301,365000.0,0,3.0
13091,4.0,3064.0,8661.0,3.0,1,2.0,False,77318,550000.0,1,2.0
13092,3.0,1834.0,22500.0,2.0,0,1.0,False,77385,299000.0,1,51.0
13093,3.0,1713.0,12046.0,2.0,1,2.0,True,77301,264500.0,0,53.0
13094,4.0,2182.0,0.0,3.0,0,1.0,False,77385,449900.0,1,1.0
13095,3.0,1682.0,11250.0,2.0,0,1.0,False,77302,299900.0,1,1.0
13096,4.0,1927.0,7151.0,2.0,0,1.0,False,77304,329000.0,0,7.0
13097,3.0,1416.0,15639.0,2.0,0,2.0,False,77316,310000.0,1,39.0
13098,3.0,900.0,2100.0,2.0,0,1.0,False,77316,169000.0,1,3.0
13099,5.0,3892.0,6079.0,3.0,1,2.0,False,77385,419000.0,1,6.0
13100,3.0,1428.0,12800.0,2.0,0,1.0,False,77303,257900.0,0,1.0
13101,3.0,1120.0,9998.0,2.0,0,1.0,False,77306,139900.0,0,22.0
13102,4.0,2562.0,9862.0,2.0,1,2.0,True,77302,335000.0,1,50.0
13103,3.0,1638.0,7872.0,2.0,0,1.0,False,77303,300000.0,0,6.0
13104,4.0,2120.0,4872.0,2.0,1,2.0,False,77301,289520.0,0,2.0
13105,3.0,2806.0,10320.0,2.0,1,1.5,False,77302,329000.0,1,51.0
13106,4.0,1818.0,5500.0,2.0,0,1.0,False,77304,270000.0,0,10.0
13107,4.0,3022.0,6253.0,3.0,0,2.0,False,77385,435000.0,1,10.0
13108,4.0,2755.0,4975.0,2.0,1,2.0,False,77385,368500.0,1,3.0
13109,3.0,2335.0,13400.0,3.0,0,1.0,False,77301,291875.0,0,55.0
13110,3.0,1490.0,7296.0,2.0,0,1.0,False,77306,239000.0,0,3.0
13111,3.0,1728.0,4867.0,2.0,0,2.0,False,77301,278910.0,0,2.0
13112,3.0,1988.0,6238.0,2.0,0,1.0,False,77384,355000.0,1,10.0
13113,4.0,2125.0,4751.0,2.0,1,2.0,False,77304,330000.0,0,1.0
13114,4.0,2519.0,42444.0,3.0,0,1.0,False,77306,324990.0,0,47.0
13115,4.0,2225.0,7922.0,2.0,1,2.0,False,77304,299999.0,0,10.0
13116,4.0,3260.0,8308.0,3.0,1,2.0,False,77384,521640.0,1,1.0
13117,6.0,2322.0,11761.0,4.0,0,1.5,False,77301,300000.0,0,53.0
13118,3.0,1672.0,6281.0,2.0,0,1.0,False,77304,285000.0,0,4.0
13119,3.0,1553.0,5563.0,2.0,0,1.0,False,77306,299999.0,0,1.0
13120,3.0,1820.0,5250.0,2.0,0,1.0,False,77385,295000.0,1,14.0
13121,4.0,2743.0,0.0,3.0,1,2.0,False,77302,410000.0,1,1.0
13122,3.0,1466.0,7214.0,2.0,0,1.0,False,77301,262070.0,0,1.0
13123,4.0,2686.0,6171.0,2.0,1,2.0,False,77301,411900.0,0,17.0
13124,4.0,2182.0,4800.0,2.0,1,2.0,False,77302,286990.0,1,1.0
13125,3.0,2150.0,7821.0,2.0,0,1.0,False,77304,345000.0,0,18.0
13126,3.0,1691.0,4000.0,2.0,0,1.0,False,77356,290000.0,1,8.0
13127,4.0,2271.0,7986.0,3.0,0,1.0,False,77384,427390.0,1,1.0
13128,5.0,3840.0,0.0,3.0,0,1.0,False,77301,449000.0,0,68.0
13129,4.0,2182.0,6741.0,2.0,1,2.0,False,77302,297240.0,1,1.0
13130,4.0,2979.0,19125.0,2.0,1,1.0,False,77302,349000.0,1,51.0
13131,3.0,1989.0,6871.0,2.0,0,1.0,False,77304,329900.0,0,7.0
13132,4.0,2280.0,5309.0,2.0,1,2.0,False,77302,275000.0,1,3.0
13133,5.0,2174.0,0.0,3.0,0,1.0,False,77303,460312.0,0,1.0
13134,4.0,2428.0,33541.0,2.0,1,2.0,True,77384,562900.0,1,25.0
13135,4.0,1904.0,12530.0,2.0,1,1.0,False,77303,299999.0,0,2.0
13136,3.0,1873.0,19595.0,2.0,0,1.0,False,77301,225000.0,0,53.0
13137,3.0,1604.0,2961.0,3.0,0,2.0,False,77356,299000.0,1,44.0
13138,4.0,3007.0,2340.0,3.0,1,3.0,False,77356,649999.0,1,21.0
13139,4.0,2628.0,4800.0,2.0,1,2.0,False,77301,329990.0,0,1.0
13140,4.0,1762.0,8631.0,2.0,0,1.0,False,77306,285000.0,0,4.0
13141,3.0,1063.0,13500.0,2.0,0,1.0,False,77303,219000.0,0,19.0
13142,4.0,2064.0,5506.0,2.0,1,2.0,False,77301,294990.0,0,1.0
13143,3.0,2038.0,6066.0,2.0,0,1.0,False,77385,329900.0,1,5.0
13144,4.0,2271.0,8727.0,3.0,0,1.0,False,77384,422090.0,1,1.0
13145,4.0,2087.0,7000.0,2.0,0,1.0,False,77304,319000.0,0,8.0
13146,4.0,2628.0,5575.0,2.0,1,2.0,False,77384,369645.0,1,1.0
13147,4.0,1936.0,4400.0,2.0,1,2.0,False,77384,322785.0,1,1.0
13148,2.0,2162.0,6864.0,2.0,0,1.0,False,77304,401920.0,0,5.0
13149,3.0,1249.0,4400.0,2.0,0,2.0,False,77384,270029.0,1,1.0
13150,3.0,1676.0,7530.0,2.0,0,1.0,False,77306,270000.0,0,4.0
13151,4.0,2079.0,6888.0,2.0,0,1.0,False,77385,369990.0,1,5.0
13152,4.0,2096.0,5005.0,2.0,1,2.0,False,77385,295000.0,1,10.0
13153,3.0,1704.0,5150.0,2.0,0,1.0,False,77304,306153.0,0,1.0
13154,3.0,1931.0,7234.0,2.0,0,1.0,False,77304,309999.0,0,18.0
13155,4.0,1707.0,4400.0,2.0,1,2.0,False,77384,305746.0,1,1.0
13156,3.0,1566.0,4788.0,2.0,1,2.0,False,77306,278990.0,0,1.0
13157,4.0,1566.0,4970.0,2.0,1,2.0,False,77306,289629.0,0,1.0
13158,4.0,5314.0,0.0,3.0,1,1.0,True,77384,995000.0,1,24.0
13159,3.0,2056.0,0.0,2.0,1,2.0,False,77304,389900.0,0,1.0
13160,3.0,2150.0,0.0,2.0,1,2.0,False,77304,330990.0,0,1.0
13161,4.0,3238.0,9694.0,3.0,1,2.0,False,77318,549967.0,1,1.0
13162,4.0,1856.0,0.0,2.0,0,1.0,False,77304,354900.0,0,1.0
13163,4.0,2628.0,4608.0,3.0,1,2.0,False,77304,363124.0,0,1.0
13164,3.0,3026.0,14980.0,2.0,1,2.0,False,77304,280000.0,0,49.0
13165,4.0,2318.0,0.0,2.0,1,2.0,False,77304,406900.0,0,1.0
13166,4.0,2324.0,11284.0,2.0,0,1.0,True,77386,424888.0,1,20.0
13167,5.0,2452.0,6906.0,2.0,1,2.0,False,77304,359999.0,0,6.0
13168,4.0,1707.0,4650.0,2.0,1,2.0,False,77304,279990.0,0,1.0
13169,3.0,1592.0,6020.0,2.0,0,1.0,True,77385,307000.0,1,6.0
13170,4.0,2124.0,6443.0,2.0,0,1.0,False,77304,337000.0,0,3.0
13171,3.0,1307.0,0.0,2.0,0,1.0,False,77304,259990.0,0,1.0
13172,4.0,2012.0,6250.0,3.0,0,1.0,False,77303,318495.0,0,1.0
13173,2.0,2294.0,12121.0,1.0,1,1.0,False,77304,365000.0,0,6.0
13174,5.0,5172.0,25858.0,4.0,2,2.0,True,77384,1395000.0,1,10.0
13175,4.0,3335.0,0.0,3.0,1,2.0,True,77384,679000.0,1,25.0
13176,5.0,3766.0,8478.0,5.0,1,2.0,False,77304,769771.0,0,1.0
13177,3.0,1336.0,6600.0,2.0,0,1.0,False,77303,229000.0,0,44.0
13178,3.0,2906.0,11448.0,2.0,1,1.0,False,77304,595000.0,0,1.0
13179,4.0,2891.0,9291.0,3.0,0,2.0,False,77384,449000.0,1,4.0
13180,3.0,1548.0,5818.0,2.0,0,1.0,False,77304,249900.0,0,9.0
13181,4.0,2818.0,14738.0,3.0,1,1.0,False,77318,564367.0,1,1.0
13182,4.0,1856.0,0.0,2.0,0,1.0,False,77304,348900.0,0,1.0
13183,4.0,3355.0,13287.0,3.0,1,2.0,False,77302,395000.0,1,51.0
13184,5.0,2661.0,0.0,2.0,1,2.0,False,77304,407900.0,0,1.0
13185,3.0,3002.0,0.0,3.0,0,2.0,False,77384,449900.0,1,29.0
13186,3.0,1876.0,0.0,2.0,0,1.0,False,77302,325000.0,1,1.0
13187,4.0,2318.0,0.0,2.0,1,2.0,False,77304,396900.0,0,1.0
13188,4.0,1820.0,6628.0,2.0,0,1.0,False,77301,298000.0,0,2.0
13189,4.0,3054.0,6875.0,3.0,1,1.5,False,77384,464777.0,1,9.0
13190,4.0,1820.0,12320.0,2.0,1,2.0,False,77303,259900.0,0,1.0
13191,3.0,1515.0,8547.0,2.0,0,1.0,False,77304,255000.0,0,21.0
13192,4.0,1856.0,0.0,2.0,0,1.0,False,77304,344900.0,0,1.0
13193,4.0,2318.0,0.0,2.0,1,2.0,False,77304,399900.0,0,1.0
13194,3.0,1345.0,4000.0,2.0,0,1.0,False,77356,232000.0,1,19.0
